Text,expresso atau americano (Hot),expresso atau americano (Ice),cappucino (Hot),cappucino (Ice),Gula Aren(Hot),Gula Aren(Ice),Coffee Latte(Hot),Coffee Latte(Ice),Caramel Macchiato(Hot),Caramel Macchiato(Ice),mochaccino (Hot),mochaccino (Ice)
saya mau pesan caramel macchiato reguler yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
saya mau pesan iced caramel macchiato reguler 1 ya,0,0,0,0,0,0,0,0,0,1,0,0
mochaccino hot reguler satu ya mba,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan satu caramel macchiato yang iced ya mas,0,0,0,0,0,0,0,0,0,1,0,0
umm satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
aku pesan caramel macchiato ice satu dong,0,0,0,0,0,0,0,0,0,1,0,0
mas satu caramel macchiato yang ice ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato ice sama satu mocachino yang ice juga,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato satu ya,0,0,0,0,0,0,0,0,1,0,0,0
1 caramel macchiato yang ice ya mas,0,0,0,0,0,0,0,0,0,1,0,0
1 hot mocchacino,0,0,0,0,0,0,0,0,0,0,1,0
2 caramel macchiato yang hot ya mas,0,0,0,0,0,0,0,0,1,0,0,0
dua hot caramel macchiato,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan iced mochaccino satu less ice ya,0,0,0,0,0,0,0,0,0,0,0,1
saya mau iced mochaccino ukuran reguler satu ya mba take away,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen 1 hot mocacchino ya mba,0,0,0,0,0,0,0,0,0,0,1,0
mau mocacchino ice satu sama caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,1
mau pesen hot caramel macchiato satu trus hot mochaccino satu juga ya mas,0,0,0,0,0,0,0,0,1,0,1,0
2 hot mochaccino ya mba,0,0,0,0,0,0,0,0,0,0,1,0
pesen satu caramel macchiato satu ya mas,0,0,0,0,0,0,0,0,1,0,0,0
mas hot mochaccinonya satu ya,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan caramel macchiato yang hot satu ya trus caramel macchiato yang ice satu juga,0,0,0,0,0,0,0,0,1,1,0,0
saya pesan dua hot caramel mocchaciato,0,0,0,0,0,0,0,0,1,0,0,0
mau pesen hot caramel macchiato ya mas,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan satu mocacchino ice,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan caramel macchiato yang panas satu ya sama satu caramel macchiato yang ice,0,0,0,0,0,0,0,0,1,1,0,0
mas pesan satu mochaccino yang ice ya,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan dua mocchacino duaduanya yang hot ya mas,0,0,0,0,0,0,0,0,0,0,1,0
satu caramel macchiato yang hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku mau order mochaccino,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesan caramel macchiato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
aku mau 1 caramel macchiato yang iced dan mochaccino yang ice,0,0,0,0,0,0,0,0,0,1,0,1
mas pesan satu caramel macchiato yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
mas pesan satu caramel macchiato ice ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh caramel macchiato ice satu dong,0,0,0,0,0,0,0,0,0,1,0,0
saya mau caramel macchiato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato ice tolong,0,0,0,0,0,0,0,0,0,1,0,0
ice caramel macchiato satu mas,0,0,0,0,0,0,0,0,0,1,0,0
mas caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh pesan caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
saya pesan satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
pesan caramel macchiato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
mas pesan satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
hot caramel macchiato satu dong,0,0,0,0,0,0,0,0,1,0,0,0
saya mau caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato hot tolong,0,0,0,0,0,0,0,0,1,0,0,0
hot caramel macchiato satu mas,0,0,0,0,0,0,0,0,1,0,0,0
mas caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mau caramel macchiato hot satu dong,0,0,0,0,0,0,0,0,1,0,0,0
boleh pesan caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
saya pesan satu caramel macchiato hot,0,0,0,0,0,0,0,0,1,0,0,0
pesan caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mas pesan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,0,1
boleh mochaccino ice satu dong,0,0,0,0,0,0,0,0,0,0,0,1
saya mau mochaccino yang ice satu,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino ice tolong,0,0,0,0,0,0,0,0,0,0,0,1
ice mochaccino satu mas,0,0,0,0,0,0,0,0,0,0,0,1
mas mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mau mochaccino ice satu dong,0,0,0,0,0,0,0,0,0,0,0,1
boleh pesan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan satu mochaccino ice,0,0,0,0,0,0,0,0,0,0,0,1
pesan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mas pesan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
hot mochaccino satu dong,0,0,0,0,0,0,0,0,0,0,1,0
saya mau mochaccino yang hot satu,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot tolong,0,0,0,0,0,0,0,0,0,0,1,0
hot mochaccino satu mas,0,0,0,0,0,0,0,0,0,0,1,0
mas mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
boleh pesan mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
pesan mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
mas pesan satu caramel macchiato ice dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh dua satu caramel macchiato ice dan satu mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
saya mau pesan satu caramel macchiato ice dan satu mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
satu caramel macchiato ice satu mochaccino ice tolong,0,0,0,0,0,0,0,0,0,1,0,1
pesan caramel macchiato ice satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
mas satu caramel macchiato ice dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,1,0,1
mau caramel macchiato ice satu dan mochaccino ice satu,0,0,0,0,0,0,0,0,0,1,0,1
boleh satu caramel macchiato ice dan satu mochaccino ice dong,0,0,0,0,0,0,0,0,0,1,0,1
saya pesan caramel macchiato ice dan mochaccino ice satusatu,0,0,0,0,0,0,0,0,0,1,0,1
pesan satu caramel macchiato ice satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,1,0,1
mas pesan satu caramel macchiato hot dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
boleh satu caramel macchiato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
saya pesan satu caramel macchiato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
satu caramel macchiato hot dan satu mochaccino hot tolong,0,0,0,0,0,0,0,0,1,0,1,0
pesan caramel macchiato hot satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,1,0,1,0
mas satu caramel macchiato hot dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
mau caramel macchiato hot satu dan mochaccino hot satu,0,0,0,0,0,0,0,0,1,0,1,0
boleh pesan satu caramel macchiato hot dan satu mochaccino hot dong,0,0,0,0,0,0,0,0,1,0,1,0
saya pesan caramel macchiato hot dan mochaccino hot satusatu,0,0,0,0,0,0,0,0,1,0,1,0
pesan satu caramel macchiato hot satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
aku pesen satu caramel macchiato hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot mba,0,0,0,0,0,0,0,0,1,0,0,0
pesan satu caramel macchiato hot tolong mba,0,0,0,0,0,0,0,0,1,0,0,0
aku mau satu caramel macchiato hot,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu caramel macchiato iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu caramel macchiato iced mba,0,0,0,0,0,0,0,0,0,1,0,0
pesan satu caramel macchiato iced tolong mba,0,0,0,0,0,0,0,0,0,1,0,0
aku mau satu caramel macchiato iced,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu mochaccino hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mochaccino hot mba,0,0,0,0,0,0,0,0,0,0,1,0
pesan satu mochaccino hot tolong mba,0,0,0,0,0,0,0,0,0,0,1,0
aku mau satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mochaccino iced mba,0,0,0,0,0,0,0,0,0,0,0,1
pesan satu mochaccino iced tolong mba,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
caramel macchiato hot reguler satu ya mba,0,0,0,0,0,0,0,0,1,0,0,0
mba satu caramel macchiato hot reguler ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu caramel macchiato yang hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot reguler mba,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato hot reguler aja mba,0,0,0,0,0,0,0,0,1,0,0,0
mba pesen satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
aku mau satu caramel macchiato hot reguler,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato hot satu aja mba,0,0,0,0,0,0,0,0,1,0,0,0
tolong satu caramel macchiato yang hot mba,0,0,0,0,0,0,0,0,1,0,0,0
mba satu caramel macchiato hot reguler,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato ice reguler satu ya mba,0,0,0,0,0,0,0,0,0,1,0,0
mba satu caramel macchiato iced reguler ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu caramel macchiato yang iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu caramel macchiato iced reguler mba,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato ice reguler aja mba,0,0,0,0,0,0,0,0,0,1,0,0
mba pesen satu caramel macchiato yang ice,0,0,0,0,0,0,0,0,0,1,0,0
aku mau satu caramel macchiato iced reguler,0,0,0,0,0,0,0,0,0,1,0,0
caramel macchiato iced satu aja mba,0,0,0,0,0,0,0,0,0,1,0,0
tolong satu caramel macchiato yang ice mba,0,0,0,0,0,0,0,0,0,1,0,0
mba satu caramel macchiato iced reguler,0,0,0,0,0,0,0,0,0,1,0,0
mba satu mochaccino hot reguler ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mochaccino yang hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mochaccino hot reguler mba,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot reguler aja mba,0,0,0,0,0,0,0,0,0,0,1,0
mba pesen satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
aku mau satu mochaccino hot reguler,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja mba,0,0,0,0,0,0,0,0,0,0,1,0
tolong satu mochaccino yang hot mba,0,0,0,0,0,0,0,0,0,0,1,0
mba satu mochaccino hot reguler,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino ice reguler satu ya mba,0,0,0,0,0,0,0,0,0,0,0,1
mba satu mochaccino iced reguler ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu mochaccino yang iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mochaccino iced reguler mba,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino ice reguler aja mba,0,0,0,0,0,0,0,0,0,0,0,1
mba pesen satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu mochaccino iced reguler,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino iced satu aja mba,0,0,0,0,0,0,0,0,0,0,0,1
tolong satu mochaccino yang ice mba,0,0,0,0,0,0,0,0,0,0,0,1
mba satu mochaccino iced reguler,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu caramel macchiato hot dan satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,1,0,0,1
mba boleh satu caramel macchiato iced dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
aku mau satu caramel macchiato iced sama satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
tolong satu caramel macchiato hot dan satu mochaccino iced mba,0,0,0,0,0,0,0,0,1,0,0,1
pesen dua minuman ya mba satu caramel macchiato hot dan satu mochaccino iced,0,0,0,0,0,0,0,0,1,0,0,1
aku mau satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
pesen satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesan satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato hot satu aja tolong,0,0,0,0,0,0,0,0,1,0,0,0
mas satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesan satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
tolong satu caramel macchiato hot,0,0,0,0,0,0,0,0,1,0,0,0
pesan satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato yang hot terima kasih,0,0,0,0,0,0,0,0,1,0,0,0
pesen satu caramel macchiato ice ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu caramel macchiato yang iced,0,0,0,0,0,0,0,0,0,1,0,0
aku pesan satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
caramel macchiato iced satu aja tolong,0,0,0,0,0,0,0,0,0,1,0,0
mas satu caramel macchiato iced ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesan satu caramel macchiato ice,0,0,0,0,0,0,0,0,0,1,0,0
tolong satu caramel macchiato iced,0,0,0,0,0,0,0,0,0,1,0,0
pesan satu caramel macchiato yang ice,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato iced terima kasih,0,0,0,0,0,0,0,0,0,1,0,0
pesen satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
aku pesan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja tolong,0,0,0,0,0,0,0,0,0,0,1,0
mas satu mochaccino yang hot ya,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
tolong satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
pesan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot terima kasih,0,0,0,0,0,0,0,0,0,0,1,0
pesen satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mochaccino yang iced,0,0,0,0,0,0,0,0,0,0,0,1
aku pesan satu mochaccino ice,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino iced satu aja tolong,0,0,0,0,0,0,0,0,0,0,0,1
mas satu mochaccino iced ya,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesan satu mochaccino ice,0,0,0,0,0,0,0,0,0,0,0,1
tolong satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,0,1
pesan satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino iced terima kasih,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu caramel macchiato iced dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
pesan satumochaccino hot sama satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,1,1
boleh satu caramel macchiato iced dan satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,1,0,0
aku mau dua minuman satu caramel macchiato hot dan caramel macchiato iced,0,0,0,0,0,0,0,0,1,1,0,0
tolong satu mochaccino ice dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,1
mba pesen satu mochaccino hot dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
aku mau satu caramel macchiato ice dan satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,1,0,1
boleh satu caramel macchiato hot terus satu mochaccino hot juga,0,0,0,0,0,0,0,0,1,0,1,0
tolong satu caramel macchiato hot dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
mas aku pesen satu caramel macchiato iced dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,1,0,0
pesen caramel macchiato yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen caramel macchiato hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
mas pesen satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
pesen caramel macchiato yang hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
boleh pesen caramel macchiato hot satu,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesen satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
mas satu caramel macchiato hot aja ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen caramel macchiato yang hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesen caramel macchiato iced satu ya,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen caramel macchiato iced satu aja,0,0,0,0,0,0,0,0,0,1,0,0
mas pesen satu caramel macchiato ice ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu caramel macchiato yang iced,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato yang ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
boleh pesen caramel macchiato iced satu,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen satu caramel macchiato yang iced,0,0,0,0,0,0,0,0,0,1,0,0
mas satu caramel macchiato iced aja ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen caramel macchiato yang ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino yang hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen mochaccino hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
mas pesen satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino yang hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
boleh pesen mochaccino hot satu,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesen satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
mas satu mochaccino hot aja ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen mochaccino yang hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesen mochaccino iced satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen mochaccino iced satu aja,0,0,0,0,0,0,0,0,0,0,0,1
mas pesen satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu mochaccino yang iced,0,0,0,0,0,0,0,0,0,0,0,1
boleh pesen mochaccino iced satu,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesen satu mochaccino yang iced,0,0,0,0,0,0,0,0,0,0,0,1
mas satu mochaccino iced aja ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen mochaccino yang ice satu aja,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesen caramel macchiato iced satu sama mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
mba pesen satu caramel macchiato ice sama satu mochaccino cie,0,0,0,0,0,0,0,0,0,1,0,1
pesen satu caramel macchiato iced dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
aku mau pesen dua minuman caramel macchiato hot satu sama mochaccino hot satu,0,0,0,0,0,0,0,0,1,0,1,0
mas boleh pesen satu caramel macchiato hot sama satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau pesen caramel macchiato ice satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
pesen satu caramel macchiato ice sama satu caramel macchiato yang hot ya,0,0,0,0,0,0,0,0,1,1,0,0
mas aku mau pesen mochaccino ice satu dan mochaccino hot satu,0,0,0,0,0,0,0,0,0,0,1,1
aku mau pesen mochaccino hot satu dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
pesen mochaccino ice sama mochaccino hot satusatu ya mas,0,0,0,0,0,0,0,0,0,0,1,1
1 caramel macchiato hot sama 1 caramel macchiato yang ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen 1 caramel macchiato hot dan 1 caramel macchiato ice ya mas,0,0,0,0,0,0,0,0,1,1,0,0
mas 1 caramel macchiato dan 1 mochaccino duaduanya ice,0,0,0,0,0,0,0,0,0,1,0,1
mas 1 caramel macchiato dan 1 mochaccino duaduanya hot,0,0,0,0,0,0,0,0,1,0,1,0
1 caramel macchiato sama 1 mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau 1 caramel macchiato ice dan 1 mochaccino hot,0,0,0,0,0,0,0,0,0,1,0,1
mas pesen 1 caramel macchiato ice dan 1 mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
1 caramel macchiato ice dan 1 mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
1 caramel macchiato dan 1 mochaccino duaduanya hot ya mas,0,0,0,0,0,0,0,0,1,0,1,0
mas tolong 1 caramel macchiato ice sama 1 mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
boleh pesen 1 caramel macchiato dan 1 mochaccino duaduanya ice ya,0,0,0,0,0,0,0,0,1,0,1,0
1 caramel macchiato sama 1 mochaccino ice semua ya mas,0,0,0,0,0,0,0,0,0,1,0,1
