Text,expresso atau americano (Hot),expresso atau americano (Ice),cappucino (Hot),cappucino (Ice),Gula Aren(Hot),Gula Aren(Ice),Coffee Latte(Hot),Coffee Latte(Ice),Caramel Macchiato(Hot),Caramel Macchiato(Ice),mochaccino (Hot),mochaccino (Ice)
aku pesen 1 caramel macchiato ice sama 1 mochaccino ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
mas pesen 1 caramel macchiato dan 1 mochaccino hot duaduanya ice,0,0,0,0,0,0,0,0,1,0,1,0
1 caramel macchiato dan 1 mochaccino semua ice ya mas,0,0,0,0,0,0,0,0,0,1,0,1
mas pesen 1 caramel macchiato sama 1 mochaccino keduanya yang hot ya,0,0,0,0,0,0,0,0,1,0,1,0
aku mau 1 caramel macchiato ice sama 1 caramel macchiato hot ya mas,0,0,0,0,0,0,0,0,1,1,0,0
mas boleh mochaccino dua satu es satu hot,0,0,0,0,0,0,0,0,0,0,1,1
mas boleh caramel macchiato dua satu es satu hot,0,0,0,0,0,0,0,0,1,1,0,0
pesen 1 caramel macchiato sama 1 mochaccino ice semua mas,0,0,0,0,0,0,0,0,0,1,0,1
pesen caramel macchiato yang iced satu mas,0,0,0,0,0,0,0,0,0,1,0,0
mau caramel macchiato ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
minta caramel macchiato yang ice satu ya mas,0,0,0,0,0,0,0,0,0,1,0,0
boleh caramel macchiato iced satu ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau caramel macchiato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato ice satu aja ya,0,0,0,0,0,0,0,0,0,1,0,0
mas caramel macchiato yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
caramel macchiato ice satu aja mas,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mas caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
aku mau caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato hot satu aja mas,0,0,0,0,0,0,0,0,1,0,0,0
pesen caramel macchiato hot satu ya mas,0,0,0,0,0,0,0,0,1,0,0,0
minta caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mau caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
boleh caramel macchiato hot satu mas,0,0,0,0,0,0,0,0,1,0,0,0
aku mau caramel macchiato yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
pesen mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mas mochaccino yang ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino iced satu aja mas,0,0,0,0,0,0,0,0,0,0,0,1
aku mau mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu aja,0,0,0,0,0,0,0,0,0,0,0,1
boleh mochaccino iced satu mas,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu aja ya,0,0,0,0,0,0,0,0,0,0,0,1
aku mau mochaccino iced satu mas,0,0,0,0,0,0,0,0,0,0,0,1
minta mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
aku mau mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja mas,0,0,0,0,0,0,0,0,0,0,1,0
boleh mochaccino yang hot satu ya mas,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino hot satu mas,0,0,0,0,0,0,0,0,0,0,1,0
aku mau mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,0,0,1,0
mau mochaccino yang hot satu mas,0,0,0,0,0,0,0,0,0,0,1,0
pesen 1 caramel macchiato ice sama 1 mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato iced satu dan mochaccino hot satu,0,0,0,0,0,0,0,0,0,1,1,0
aku mau caramel macchiato hot satu sama mochaccino ice satu mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen satu caramel macchiato yang ice sama satu mochaccino yang hot ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh caramel macchiato hot satu dan mochaccino iced satu ya mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice sama mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
caramel macchiato hot satu dan mochaccino iced satu aja ya mas,0,0,0,0,0,0,0,0,0,1,1,0
aku mau pesen caramel macchiato ice satu sama mochaccino ice satu,0,0,0,0,0,0,0,0,0,1,0,1
mas boleh caramel macchiato ice satu dan mochaccino ice satu,0,0,0,0,0,0,0,0,0,1,0,1
caramel macchiato hot satu sama mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
aku pesen caramel macchiato ice sama mochaccino ice ya,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato iced dan mochaccino iced satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh pesen caramel macchiato ice dan mochaccino ice satu ya mas,0,0,0,0,0,0,0,0,0,1,0,1
pesen caramel macchiato ice sama mochaccino ice ya mas,0,0,0,0,0,0,0,0,0,1,0,1
mas satu caramel macchiato ice dan satu mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
aku mau caramel macchiato ice dan mochaccino ice mas,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato ice sama mochaccino ice satusatu ya,0,0,0,0,0,0,0,0,0,1,0,1
pesen caramel macchiato ice dan mochaccino ice aja mas,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato ice satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
boleh caramel macchiato ice sama mochaccino ice mas,0,0,0,0,0,0,0,0,0,1,0,1
aku pesen caramel macchiato ice sama mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato iced dan mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,0,1,0,1
boleh pesen caramel macchiato ice dan mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,0,1,1,0
pesen caramel macchiato ice sama mochaccino hot ya mas,0,0,0,0,0,0,0,0,0,1,1,0
mas satu caramel macchiato ice dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
aku mau caramel macchiato ice dan mochaccino hot mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice sama mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,0,1,1,0
pesen caramel macchiato ice dan mochaccino hot aja mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
boleh caramel macchiato ice sama mochaccino hot mas,0,0,0,0,0,0,0,0,0,1,1,0
aku pesen caramel macchiato hot sama mochaccino ice ya,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato hot dan mochaccino iced satusatu ya,0,0,0,0,0,0,0,0,0,1,1,0
boleh pesen caramel macchiato hot dan mochaccino ice satu ya mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen caramel macchiato hot sama mochaccino ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
mas satu caramel macchiato hot dan satu mochaccino ice,0,0,0,0,0,0,0,0,1,0,0,1
aku mau caramel macchiato hot dan mochaccino ice mas,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot sama mochaccino ice satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
pesen caramel macchiato hot dan mochaccino ice aja mas,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh caramel macchiato hot sama mochaccino ice mas,0,0,0,0,0,0,0,0,1,0,0,1
aku pesen caramel macchiato hot sama mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot dan mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh pesen caramel macchiato hot dan mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,1,0,1,0
pesen caramel macchiato hot sama mochaccino hot ya mas,0,0,0,0,0,0,0,0,1,0,1,0
mas satu caramel macchiato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau caramel macchiato hot dan mochaccino hot mas,0,0,0,0,0,0,0,0,1,0,1,0
mas caramel macchiato hot sama mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,1,0,1,0
pesen caramel macchiato hot dan mochaccino hot aja mas,0,0,0,0,0,0,0,0,1,0,1,0
mas caramel macchiato hot satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,1,0,1,0
boleh caramel macchiato hot sama mochaccino hot mas,0,0,0,0,0,0,0,0,1,0,1,0
aku mau pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan dua kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba mau iced coffee latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan satu coffee latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan empat hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan satu coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced coffee latte dua ya,0,0,0,0,0,0,0,1,0,0,0,0
pesan dua coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan satu coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
mba pesan satu kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
mba mau iced coffee latte lima ya,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan lima iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
kak mau iced coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
mas mau hot coffee latte tiga ya,0,0,0,0,0,0,0,0,0,0,0,0
aku pesan lima kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren lima ya,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren satu ya,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan lima coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
kak mau hot kopi gula aren lima ya,0,0,0,0,1,0,1,0,0,0,0,0
kak pesan lima coffee latte yang hot,0,0,0,0,0,0,0,0,0,0,0,0
kak mau iced kopi gula aren satu ya,0,0,0,0,0,1,0,1,0,0,0,0
mba mau iced coffee latte satu ya,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan tiga hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mas mau iced coffee latte satu ya,0,0,0,0,0,0,1,0,0,0,0,0
pesan satu coffee latte dan hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced coffee latte lima ya,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan tiga iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
pesan tiga coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan empat hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba mau hot kopi gula aren empat ya,0,0,0,0,1,0,0,1,0,0,0,0
aku pesan empat coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mas mau hot kopi gula aren dua ya,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
aku mau pesan dua hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
saya mau pesan lima iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan dua iced coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan tiga hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan satu hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan tiga kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
kak mau iced coffee latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan lima hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan tiga hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
kak pesan empat iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku mau pesan dua iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
aku mau pesan lima hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan satu iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
aku pesan dua kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
mba mau hot coffee latte dua ya,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren tiga ya,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan empat kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
kak pesan tiga hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
mba pesan tiga hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
saya mau pesan tiga hot coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan tiga iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan satu iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan dua iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mba mau hot kopi gula aren satu ya,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan empat iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan satu iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mas pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
pesan empat coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
aku mau pesan empat iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan satu kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba mau hot kopi gula aren dua ya,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan dua kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan satu hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
kak mau iced coffee latte lima ya,0,0,0,0,0,0,0,0,0,0,0,0
aku mau pesan tiga iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
aku pesan lima coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
aku pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan lima iced coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
pesan lima coffee latte dan hot,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan dua coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan dua coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan tiga hot coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku mau pesan tiga iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
pesan tiga coffee latte dan hot,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan satu iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
aku mau pesan tiga hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
pesan satu kopi gula aren dan iced,0,0,0,0,0,1,0,0,0,0,0,0
mas mau hot kopi gula aren satu ya,0,0,0,0,1,0,1,0,0,0,0,0
kak mau hot coffee latte empat ya,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan tiga iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
kak mau hot coffee latte lima ya,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan satu hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan empat hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan lima hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
kak mau hot coffee latte dua ya,0,0,0,0,0,0,1,0,0,0,0,0
kak mau hot coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan empat hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
mas mau iced kopi gula aren tiga ya,0,0,0,0,0,1,0,0,0,0,0,0
pesan dua kopi gula aren dan iced,0,0,0,0,0,1,1,0,0,0,0,0
aku pesan satu coffee latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan dua coffee latte yang hot,0,0,0,0,0,0,0,0,0,0,0,0
aku mau pesan tiga hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mba mau hot kopi gula aren tiga ya,0,0,0,0,1,0,0,0,0,0,0,0
aku mau pesan dua iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan lima hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan dua kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
mba mau hot coffee latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan tiga coffee latte yang hot,0,0,0,0,0,0,0,0,0,0,0,0
mba mau iced coffee latte dua ya,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan tiga iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
mas mau hot kopi gula aren empat ya,0,0,0,0,1,0,1,0,0,0,0,0
aku pesan lima coffee latte yang hot,0,0,0,0,0,0,0,0,0,0,0,0
kak mau iced kopi gula aren lima ya,0,0,0,0,0,1,1,0,0,0,0,0
saya mau pesan satu iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan tiga iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan lima iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
aku pesan empat kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
pesan satu coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan empat iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
pesan empat kopi gula aren dan iced,0,0,0,0,0,1,1,0,0,0,0,0
kak pesan satu iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan dua coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
pesan tiga kopi gula aren dan hot,0,0,0,0,1,0,0,1,0,0,0,0
mas pesan tiga coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced coffee latte tiga ya,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan satu hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan lima iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan lima kopi gula aren yang iced,0,0,0,0,0,1,1,0,0,0,0,0
mas pesan dua hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
mas mau hot kopi gula aren tiga ya,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan lima hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
aku pesan satu kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan lima kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan lima coffee latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
mas mau hot coffee latte lima ya,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan lima coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan lima coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
aku pesan dua coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan satu kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
aku mau pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan empat kopi gula aren yang iced,0,0,0,0,0,1,1,0,0,0,0,0
pesan empat coffee latte dan hot,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan empat hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan empat coffee latte yang hot,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
kak pesan lima hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
saya mau pesan dua iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba mau hot coffee latte satu ya,0,0,0,0,0,0,0,0,0,0,0,0
mas pesan tiga coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan empat kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
pesan lima coffee latte dan iced,0,0,0,0,0,0,0,0,0,0,0,0
mas mau hot kopi gula aren lima ya,0,0,0,0,1,0,0,1,0,0,0,0
mba mau iced coffee latte tiga ya,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan empat coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau hot coffee latte satu ya,0,0,0,0,0,0,0,1,0,0,0,0
pesan empat kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan lima hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
pesan lima kopi gula aren dan iced,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan empat coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
mba pesan lima iced kopi gula aren,0,0,0,0,0,1,1,0,0,0,0,0
mas pesan empat hot coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
kak pesan dua iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
pesan dua coffee latte dan hot,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan tiga coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
mba pesan empat iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
mba mau iced kopi gula aren dua ya,0,0,0,0,0,1,0,0,0,0,0,0
mba mau hot coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
aku pesan tiga kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
pesan lima kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
mas pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan lima iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
aku mau pesan dua hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
pesan satu kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
mas mau iced coffee latte empat ya,0,0,0,0,0,0,0,0,0,0,0,0
mba pesan dua iced coffee latte,0,0,0,0,0,0,0,0,0,0,0,0
kak mau hot kopi gula aren empat ya,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga iced kopi gula aren,0,0,0,0,0,1,1,0,0,0,0,0
kak pesan empat coffee latte yang iced,0,0,0,0,0,0,0,0,0,0,0,0
aku pesan dua kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
saya mau pesan lima hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
